area_id;type;id;full_name
10000;b;10301;Математика
10000;m;10301;Математика
10000;b;10302;Прикладная математика и информатика
10000;m;10302;Прикладная математика и информатика
10000;b;10303;Механика и математическое моделирование
10000;m;10303;Механика и математическое моделирование
10000;b;10304;Прикладная математика
10000;m;10304;Прикладная математика
10000;b;10305;Статистика
10000;m;10305;Статистика
10000;s;10501;Фундаментальные математика и механика
10000;ap;10601;Математика и механика
20000;b;20301;Математика и компьютерные науки
20000;m;20301;Математика и компьютерные науки
20000;b;20302;Фундаментальная информатика и информационные технологии
20000;m;20302;Фундаментальная информатика и информационные технологии
20000;b;20303;Математическое обеспечение и администрирование информационных систем
20000;m;20303;Математическое обеспечение и администрирование информационных систем
20000;ap;20601;Компьютерные и информационные технологии
30000;b;30301;Прикладные математика и физика
30000;m;30301;Прикладные математика и физика
30000;b;30302;Физика
30000;m;30302;Физика
30000;b;30303;Радиофизика
30000;m;30303;Радиофизика
30000;s;30501;Астрономия
30000;ap;30601;Физика и астрономия
40000;b;40301;Химия
40000;m;40301;Химия
40000;b;40302;Химия, физика и механика материалов
40000;m;40302;Химия, физика и механика материалов
40000;s;40501;Фундаментальная и прикладная химия
40000;ap;40601;Химические науки
50000;b;50301;Геология
50000;m;50301;Геология
50000;b;50302;География
50000;m;50302;География
50000;b;50303;Картография и геоинформатика
50000;m;50303;Картография и геоинформатика
50000;b;50304;Гидрометеорология
50000;m;50304;Гидрометеорология
50000;b;50305;Прикладная гидрометеорология
50000;m;50305;Прикладная гидрометеорология
50000;b;50306;Экология и природопользование
50000;m;50306;Экология и природопользование
50000;ap;50601;Науки о земле
60000;b;60301;Биология
60000;m;60301;Биология
60000;ap;60301;Биология
60000;b;60302;Почвоведение
60000;m;60302;Почвоведение
60000;s;60501;Биоинженерия и биоинформатика
60000;ap;60601;Биологические науки
70000;b;70301;Архитектура
70000;m;70301;Архитектура
70000;b;70302;Реконструкция и реставрация архитектурного наследия
70000;m;70302;Реконструкция и реставрация архитектурного наследия
70000;b;70303;Дизайн архитектурной среды
70000;m;70303;Дизайн архитектурной среды
70000;b;70304;Градостроительство
70000;m;70304;Градостроительство
70000;ap;70601;Архитектура
70000;as;70901;Архитектура
70000;as;70902;Реконструкция и реставрация архитектурного наследия
70000;as;70903;Дизайн архитектурной среды
70000;as;70904;Градостроительство
80000;b;80301;Строительство
80000;m;80301;Строительство
80000;s;80501;Строительство уникальных зданий и сооружений
80000;s;80502;Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей
80000;ap;80601;Техника и технологии строительства
90000;b;90301;Информатика и вычислительная техника
90000;m;90301;Информатика и вычислительная техника
90000;b;90302;Информационные системы и технологии
90000;m;90302;Информационные системы и технологии
90000;b;90303;Прикладная информатика
90000;m;90303;Прикладная информатика
90000;b;90304;Программная инженерия
90000;m;90304;Программная инженерия
90000;ap;90601;Информатика и вычислительная техника
100000;b;100301;Информационная безопасность
100000;m;100301;Информационная безопасность
100000;s;100501;Компьютерная безопасность
100000;s;100502;Информационная безопасность телекоммуникационных систем
100000;s;100503;Информационная безопасность автоматизированных систем
100000;s;100504;Информационно-аналитические системы безопасности
100000;s;100505;Безопасность информационных технологий в правоохранительной сфере
100000;ap;100601;Информационная безопасность
110000;b;110301;Радиотехника
110000;m;110301;Радиотехника
110000;b;110302;Инфокоммуникационные технологии и системы связи
110000;m;110302;Инфокоммуникационные технологии и системы связи
110000;b;110303;Конструирование и технология электронных средств
110000;m;110303;Конструирование и технология электронных средств
110000;b;110304;Электроника и наноэлектроника
110000;m;110304;Электроника и наноэлектроника
110000;s;110501;Радиоэлектронные системы и комплексы
110000;s;110502;Специальные радиотехнические системы
110000;ap;110601;Электроника, радиотехника и системы связи
120000;b;120301;Приборостроение
120000;m;120301;Приборостроение
120000;b;120302;Оптотехника
120000;m;120302;Оптотехника
120000;b;120303;Фотоника и оптоинформатика
120000;m;120303;Фотоника и оптоинформатика
120000;b;120304;Биотехнические системы и технологии
120000;m;120304;Биотехнические системы и технологии
120000;b;120305;Лазерная техника и лазерные технологии
120000;m;120305;Лазерная техника и лазерные технологии
120000;s;120501;Электронные и оптико-электронные приборы и системы специального назначения
120000;ap;120601;Фотоника, приборостроение, оптические и биотехнические системы и технологии
130000;b;130301;Теплоэнергетика и теплотехника
130000;m;130301;Теплоэнергетика и теплотехника
130000;b;130302;Электроэнергетика и электротехника
130000;m;130302;Электроэнергетика и электротехника
130000;b;130303;Энергетическое машиностроение
130000;m;130303;Энергетическое машиностроение
130000;ap;130601;Электро- и теплотехника
140000;b;140301;Ядерная энергетика и теплофизика
140000;m;140301;Ядерная энергетика и теплофизика
140000;b;140302;Ядерные физика и технологии
140000;m;140302;Ядерные физика и технологии
140000;s;140501;Ядерные реакторы и материалы
140000;s;140502;Атомные станции: проектирование, эксплуатация и инжиниринг
140000;s;140503;Технологии разделения изотопов и ядерное топливо
140000;ap;140601;Ядерная, тепловая и возобновляемая энергетика и сопутствующие технологии 
150000;b;150301;Машиностроение
150000;m;150301;Машиностроение
150000;b;150302;Технологические машины и оборудование
150000;m;150302;Технологические машины и оборудование
150000;b;150303;Прикладная механика
150000;m;150303;Прикладная механика
150000;b;150304;Автоматизация технологических процессов и производств
150000;m;150304;Автоматизация технологических процессов и производств
150000;b;150305;Конструкторско-технологическое обеспечение машиностроительного производства
