area_id;id;full_name
010000;010601;Математика и механика
020000;020601;Компьютерные и информационные технологии
030000;030601;Физика и астрономия
040000;040601;Химические науки
050000;050601;Науки о земле
060000;060301;Биология
060000;060601;Биологические науки
070000;070601;Архитектура
080000;080601;Техника и технологии строительства
090000;090601;Информатика и вычислительная техника
100000;100601;Информационная безопасность
110000;110601;Электроника, радиотехника и системы связи
120000;120601;Фотоника, приборостроение, оптические и биотехнические системы и технологии
130000;130601;Электро- и теплотехника
140000;140601;Ядерная, тепловая и возобновляемая энергетика и сопутствующие технологии 
150000;150601;Машиностроение
160000;160601;Физико-технические науки
170000;170601;Оружие и системы вооружения
180000;180601;Химические технологии
190000;190601;Промышленная экология и биотехнологии
200000;200601;Техносферная безопасность
210000;210601;Геология, разведка и разработка полезных ископаемых
210000;210602;Геодезия
220000;220601;Технологии материалов
230000;230601;Техника и технологии наземного транспорта
240000;240601;	Авиационная и ракетно-космическая техника 
250000;250601;Аэронавигация и эксплуатация авиационной и ракетно-космической техники
260000;260601;Техника и технологии кораблестроения и водного транспорта
270000;270601;Управление в технических системах
280000;280601;Нанотехнологии и наноматериалы
290000;290601;Технологии легкой промышленности
300000;300601;Фундаментальная медицина
310000;310601;Клиническая медицина
320000;320601;Медико-профилактическое дело
330000;330601;Фармация
350000;350601;Сельское хозяйство
350000;350602;Лесное хозяйство
350000;350603;Рыбное хозяйство 
350000;350604;Технологии, средства механизации и энергетическое оборудование в сельском, лесном и рыбном хозяйстве
360000;360601;Ветеринария и зоотехния
370000;370601;Психологические науки 
380000;380601;Экономика
390000;390601;Социологические науки
400000;400601;Юриспруденция
410000;410601;З	Политические науки и регионоведение 
420000;420601;Средства массовой информации и информационно-библиотечное дело 
440000;440601;Образование и педагогические науки 
450000;450601;Языкознание и литературоведение 
460000;460601;Исторические науки и археология 
470000;470601;Философия, этика и религиоведение 
480000;480601;Теология
490000;490601;Физическая культура и спорт 
500000;500601;Искусствоведение
510000;510601;Культурология
