area_id;id;full_name
070000;070901;Архитектура
070000;070902;Реконструкция и реставрация архитектурного наследия
070000;070903;Дизайн архитектурной среды
070000;070904;Градостроительство
520000;520901;Искусство хореографии (по видам)
520000;520902;Актерское мастерство (по видам)
520000;520903;Сценическая речь
520000;520904;Сценическая пластика и танец
520000;520905;Искусство театральной режиссуры (по видам)
520000;520906;Сценография и театральная технология
520000;520907;Драматургия
520000;520908;Искусство словесности (по видам)
530000;530901;Искусство музыкально-инструментального исполнительства (по видам)
530000;530902;Искусство вокального исполнительства (по видам)
530000;530903;Искусство композиции
530000;530904;Мастерство музыкальной звукорежиссуры
530000;530905;Искусство дирижирования (по видам)
540000;540901;Монументально-декоративное мастерство
540000;540902;Мастерство декоративно-прикладного искусства и народных промыслов (по видам)
540000;540903;Искусство дизайна (по видам)
540000;540904;Искусство живописи (по видам)
540000;540905;Искусство графики (по видам)
540000;540906;Искусство скульптуры
540000;540907;Искусство реставрации (по видам)
550000;550901;Режиссура аудиовизуальных искусств (по видам)
550000;550902;Операторское искусство (по видам)
550000;550903;Звукорежиссура аудиовизуальных искусств
