area_id;id;full_name
010000;010301;Математика
010000;010302;Прикладная математика и информатика
010000;010303;Механика и математическое моделирование
010000;010304;Прикладная математика
010000;010305;Статистика
020000;020301;Математика и компьютерные науки
020000;020302;Фундаментальная информатика и информационные технологии
020000;020303;Математическое обеспечение и администрирование информационных систем
030000;030301;Прикладные математика и физика
030000;030302;Физика
030000;030303;Радиофизика
040000;040301;Химия
040000;040302;Химия, физика и механика материалов
050000;050301;Геология
050000;050302;География
050000;050303;Картография и геоинформатика
050000;050304;Гидрометеорология
050000;050305;Прикладная гидрометеорология
050000;050306;Экология и природопользование
060000;060301;Биология
060000;060302;Почвоведение
070000;070301;Архитектура
070000;070302;Реконструкция и реставрация архитектурного наследия
070000;070303;Дизайн архитектурной среды
070000;070304;Градостроительство
080000;080301;Строительство
090000;090301;Информатика и вычислительная техника
090000;090302;Информационные системы и технологии
090000;090303;Прикладная информатика
090000;090304;Программная инженерия
100000;100301;Информационная безопасность
110000;110301;Радиотехника
110000;110302;Инфокоммуникационные технологии и системы связи
110000;110303;Конструирование и технология электронных средств
110000;110304;Электроника и наноэлектроника
120000;120301;Приборостроение
120000;120302;Оптотехника
120000;120303;Фотоника и оптоинформатика
120000;120304;Биотехнические системы и технологии
120000;120305;Лазерная техника и лазерные технологии
130000;130301;Теплоэнергетика и теплотехника
130000;130302;Электроэнергетика и электротехника
130000;130303;Энергетическое машиностроение
140000;140301;Ядерная энергетика и теплофизика
140000;140302;Ядерные физика и технологии
150000;150301;Машиностроение
150000;150302;Технологические машины и оборудование
150000;150303;Прикладная механика
150000;150304;Автоматизация технологических процессов и производств
150000;150305;Конструкторско-технологическое обеспечение машиностроительного производства
150000;150306;Мехатроника и робототехника
160000;160301;Техническая физика
160000;160302;Высокотехнологические плазменные и энергетические установки
160000;160303;Холодильная, криогенная техника и системы жизнеобеспечения
170000;170301;Корабельное вооружение
180000;180301;Химическая технология
180000;180302;Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
190000;190301;Биотехнология
190000;190302;Продукты питания из растительного сырья
190000;190303;Продукты питания животного происхождения
190000;190304;Технология продукции и организация общественного питания
200000;200301;Техносферная безопасность
200000;200302;Природообустройство и водопользование
210000;210301;Нефтегазовое дело
210000;210302;Землеустройство и кадастры
210000;210303;Геодезия и дистанционное зондирование
220000;220301;Материаловедение и технологии материалов
220000;220302;Металлургия
230000;230301;Технология транспортных процессов
230000;230302;Наземные транспортно-технологические комплексы
230000;230303;Эксплуатация транспортно-технологических машин и комплексов
240000;240301;Ракетные комплексы и космонавтика
240000;240302;Системы управления движением и навигация
240000;240303;Баллистика и гидроаэродинамика
240000;240304;Авиастроение
240000;240305;Двигатели летательных аппаратов
250000;250301;Техническая эксплуатация летательных аппаратов и двигателей
250000;250302;Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
260000;260301;Управление водным транспортом и гидрографическое обеспечение судоходства
260000;260302;Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры
270000;270301;Стандартизация и метрология
270000;270302;Управление качеством
270000;270303;Системный анализ и управление
270000;270304;Управление в технических системах
270000;270305;Инноватика
280000;280301;Нанотехнологии и микросистемная техника
280000;280302;Наноинженерия
280000;280303;Наноматериалы
290000;290301;Технология изделий легкой промышленности
290000;290302;Технологии и проектирование текстильных изделий
290000;290303;Технология полиграфического и упаковочного производства
290000;290304;Технология художественной обработки материалов
340000;340301;Сестринское дело
350000;350301;Лесное дело
350000;350302;Технология лесозаготовительных и деревоперерабатывающих производств
350000;350303;Агрохимия и агропочвоведение
350000;350304;Агрономия
350000;350305;Садоводство
350000;350306;Агроинженерия
350000;350307;Технология производства и переработки сельскохозяйственных продукции
350000;350308;Водные биоресурсы и аквакультуры
350000;350309;Промышленное рыболовство
350000;350310;Ландшафтная архитектура
350000;350311;Гидромелиорация
360000;360301;Ветеринарно-санитарная экспертиза
360000;360302;Зоотехния
370000;370301;Психология
370000;370302;Конфликтология
