area_id;id;full_name
1;1-100;Математика
1;1-200;Информатика
1;1-300;Механика
1;1-400;Сетевые технологии
1;1-500;Инфокоммуникационные технологии и вычислительные системы
1;1-600;Теория управления
1;1-700;Алгоритмическое и программное обеспечение
2;2-100;Ядерная физика
2;2-200;Физика конденсированных сред
2;2-300;Оптика, квантовая электроника
2;2-400;Радиофизика, электроника, акустика
2;2-500;Физика плазмы
2;2-600;Теоретическая физика
2;2-700;Астрономия
3;3-100;Органическая химия
3;3-200;Неорганическая химия
3;3-300;Высокомолекулярные соединения
3;3-400;Физическая химия
3;3-500;Динамика и структура атомномолекулярных систем
3;3-600;Фундаментальные проблемы формирования новых материалов
3;3-700;Многомасштабное компьютерное моделирование структуры и свойств сложных химических систем и материалов
4;4-100;Общая биология
4;4-200;Физикохимическая биология
4;4-300;Экология
5;5-100;Фундаментальная медицина
5;5-200;Клиническая медицина
5;5-300;Науки о здоровье
5;5-400;Медицинские биотехнологии
5;5-500;Фармакология и фармацевтика
5;5-600;Медицинская физика
5;5-700;Медицинские техника и информатика
6;6-100;Земледелие и растениеводство
6;6-200;Зоотехния
6;6-300;Теоретические основы и технология пищевых продуктов
7;7-100;Геология
7;7-200;Геохимия
7;7-300;Горные науки
7;7-400;Геофизика
7;7-500;Океанология
7;7-600;Физика атмосферы
7;7-700;География и гидрология суши
7;7-800;Социальная и экономическая география
8;8-100;Исторические науки
8;8-150;Экономические науки
8;8-200;Философские науки
8;8-250;Политология
8;8-300;Социология
8;8-350;Юридические науки
8;8-400;Науковедение
8;8-450;Филологические науки
8;8-500;Искусствоведение
8;8-550;Психология
8;8-600;Педагогика
8;8-700;Культурология
9;9-100;Машиноведение и инженерная механика
9;9-200;Процессы тепломассообмена, свойства веществ и материалов
9;9-300;Электрофизика, электротехника и электроэнергетика
9;9-400;Энергетика
9;9-500;Атомная энергетика
9;9-600;Технические системы и процессы управления
9;9-700;Элементная база вычислительной техники и коммуникационных систем
9;9-800;Фундаментальные основы конвергентных наук
