id;full_name
010000;МАТЕМАТИКА И МЕХАНИКА
020000;КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ
030000;ФИЗИКА И АСТРОНОМИЯ
040000;ХИМИЯ
050000;НАУКИ О ЗЕМЛЕ
060000;БИОЛОГИЧЕСКИЕ НАУКИ
070000;АРХИТЕКТУРА
080000;ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
090000;ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА
100000;ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ
110000;ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ
120000;ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ
130000;ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
140000;ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ
150000;МАШИНОСТРОЕНИЕ
160000;ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ
170000;ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ
180000;ХИМИЧЕСКИЕ ТЕХНОЛОГИИ
190000;ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
200000;ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО
210000;ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ
220000;ТЕХНОЛОГИИ МАТЕРИАЛОВ
230000;ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА
240000;АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА
250000;АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ
260000;ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА
270000;УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ
280000;НАНОТЕХНОЛОГИИ И МАТЕРИАЛЫ
290000;ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ
300000;ФУНДАМЕНТАЛЬНАЯ МЕДИЦИНА
310000;КЛИНИЧЕСКАЯ МЕДИЦИНА
320000;НАУКИ О ЗДОРОВЬЕ И ПРОФИЛАКТИЧЕСКАЯ МЕДИЦИНА
330000;ФАРМАЦИЯ
340000;СЕСТРИНСКОЕ ДЕЛО
350000;СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
360000;ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ
370000;ПСИХОЛОГИЧЕСКИЕ НАУКИ
380000;ЭКОНОМИКА И УПРАВЛЕНИЕ
390000;СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА
400000;ЮРИСПРУДЕНЦИЯ
410000;ПОЛИТИЧЕСКИЕ НАУКИ И РЕГИОНОВЕДЕНИЕ
420000;СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО
430000;СЕРВИС И ТУРИЗМ
440000;ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ
450000;ЯЗЫКОЗНАНИЕ И ЛИТЕРАТУРОВЕДЕНИЕ
460000;ИСТОРИЯ И АРХЕОЛОГИЯ
470000;ФИЛОСОФИЯ, ЭТИКА И РЕЛИГИОВЕДЕНИЕ
480000;ТЕОЛОГИЯ
490000;ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ
500000;ИСКУССТВОЗНАНИЕ
510000;КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ
520000;СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО
530000;МУЗЫКАЛЬНОЕ ИСКУССТВО
540000;ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ
550000;ЭКРАННЫЕ ИСКУССТВА
580000;ВОСТОКОВЕДЕНИЕ И АФРИКАНИСТИКА
